"A_LEMMA","A_SYNSETID","A_TAGCOUNT","A_LEXDOMAINNAME","A_LEXDOMAINID","A_POS","A_SHOWALL","A_DEFINITION","A_SAMPLESET","A_HIDEALL","A_SENSENUM","B_LINKID","D_LINK","C_SYNSETID","C_LEXDOMAINNAME","C_LEXDOMAINID","C_POS","C_SHOWALL","C_DEFINITION","C_SAMPLESET","C_HIDEALL"
"united kingdom of great britain and northern ireland",108793769,,"noun.location",15,"n","Britain#1(britain%1:15:00::),Great Britain#1(great_britain%1:15:01::),United Kingdom of Great Britain and Northern Ireland#1(united_kingdom_of_great_britain_and_northern_ireland%1:15:00::),UK#1(uk%1:15:00::),United Kingdom#1(united_kingdom%1:15:00::),U.K.#1(u.k.%1:15:00::)","a monarchy in northwestern Europe occupying most of the British Isles; divided into England and Scotland and Wales and Northern Ireland; `Great Britain' is often used loosely to refer to the United Kingdom","","Britain,Great Britain,United Kingdom of Great Britain and Northern Ireland,UK,United Kingdom,U.K.",1,94,"domain member region",103835340,"noun.artifact",6,"n","pannikin#1(pannikin%1:06:00::)","a small pan or cup (usually of tin)","","pannikin"
"united kingdom of great britain and northern ireland",108793769,,"noun.location",15,"n","Britain#1(britain%1:15:00::),Great Britain#1(great_britain%1:15:01::),United Kingdom of Great Britain and Northern Ireland#1(united_kingdom_of_great_britain_and_northern_ireland%1:15:00::),UK#1(uk%1:15:00::),United Kingdom#1(united_kingdom%1:15:00::),U.K.#1(u.k.%1:15:00::)","a monarchy in northwestern Europe occupying most of the British Isles; divided into England and Scotland and Wales and Northern Ireland; `Great Britain' is often used loosely to refer to the United Kingdom","","Britain,Great Britain,United Kingdom of Great Britain and Northern Ireland,UK,United Kingdom,U.K.",1,94,"domain member region",302443404,"adj.all",0,"s","knackered#1(knackered%5:00:00:tired:00),drained#2(drained%5:00:00:tired:00)","very tired","","knackered,drained"
"united kingdom of great britain and northern ireland",108793769,,"noun.location",15,"n","Britain#1(britain%1:15:00::),Great Britain#1(great_britain%1:15:01::),United Kingdom of Great Britain and Northern Ireland#1(united_kingdom_of_great_britain_and_northern_ireland%1:15:00::),UK#1(uk%1:15:00::),United Kingdom#1(united_kingdom%1:15:00::),U.K.#1(u.k.%1:15:00::)","a monarchy in northwestern Europe occupying most of the British Isles; divided into England and Scotland and Wales and Northern Ireland; `Great Britain' is often used loosely to refer to the United Kingdom","","Britain,Great Britain,United Kingdom of Great Britain and Northern Ireland,UK,United Kingdom,U.K.",1,94,"domain member region",108479703,"noun.location",15,"n","shire town#1(shire_town%1:15:00::),county town#1(county_town%1:15:00::)","the town or city that is the seat of government for a shire","","shire town,county town"
"united kingdom of great britain and northern ireland",108793769,,"noun.location",15,"n","Britain#1(britain%1:15:00::),Great Britain#1(great_britain%1:15:01::),United Kingdom of Great Britain and Northern Ireland#1(united_kingdom_of_great_britain_and_northern_ireland%1:15:00::),UK#1(uk%1:15:00::),United Kingdom#1(united_kingdom%1:15:00::),U.K.#1(u.k.%1:15:00::)","a monarchy in northwestern Europe occupying most of the British Isles; divided into England and Scotland and Wales and Northern Ireland; `Great Britain' is often used loosely to refer to the United Kingdom","","Britain,Great Britain,United Kingdom of Great Britain and Northern Ireland,UK,United Kingdom,U.K.",1,94,"domain member region",101072474,"noun.act",4,"n","point duty#1(point_duty%1:04:00::)","the control of traffic by a policeman stationed at an intersection","","point duty"
"united kingdom of great britain and northern ireland",108793769,,"noun.location",15,"n","Britain#1(britain%1:15:00::),Great Britain#1(great_britain%1:15:01::),United Kingdom of Great Britain and Northern Ireland#1(united_kingdom_of_great_britain_and_northern_ireland%1:15:00::),UK#1(uk%1:15:00::),United Kingdom#1(united_kingdom%1:15:00::),U.K.#1(u.k.%1:15:00::)","a monarchy in northwestern Europe occupying most of the British Isles; divided into England and Scotland and Wales and Northern Ireland; `Great Britain' is often used loosely to refer to the United Kingdom","","Britain,Great Britain,United Kingdom of Great Britain and Northern Ireland,UK,United Kingdom,U.K.",1,94,"domain member region",302367923,"adj.all",0,"s","jiggered#1(jiggered%5:00:00:surprised:00)","(British informal expletive) surprised","Well I'm jiggered!","jiggered"
"united kingdom of great britain and northern ireland",108793769,,"noun.location",15,"n","Britain#1(britain%1:15:00::),Great Britain#1(great_britain%1:15:01::),United Kingdom of Great Britain and Northern Ireland#1(united_kingdom_of_great_britain_and_northern_ireland%1:15:00::),UK#1(uk%1:15:00::),United Kingdom#1(united_kingdom%1:15:00::),U.K.#1(u.k.%1:15:00::)","a monarchy in northwestern Europe occupying most of the British Isles; divided into England and Scotland and Wales and Northern Ireland; `Great Britain' is often used loosely to refer to the United Kingdom","","Britain,Great Britain,United Kingdom of Great Britain and Northern Ireland,UK,United Kingdom,U.K.",1,94,"domain member region",113258168,"noun.possession",21,"n","refresher#1(refresher%1:21:00::)","a fee (in addition to that marked on the brief) paid to counsel in a case that lasts more than one day","","refresher"
"united kingdom of great britain and northern ireland",108793769,,"noun.location",15,"n","Britain#1(britain%1:15:00::),Great Britain#1(great_britain%1:15:01::),United Kingdom of Great Britain and Northern Ireland#1(united_kingdom_of_great_britain_and_northern_ireland%1:15:00::),UK#1(uk%1:15:00::),United Kingdom#1(united_kingdom%1:15:00::),U.K.#1(u.k.%1:15:00::)","a monarchy in northwestern Europe occupying most of the British Isles; divided into England and Scotland and Wales and Northern Ireland; `Great Britain' is often used loosely to refer to the United Kingdom","","Britain,Great Britain,United Kingdom of Great Britain and Northern Ireland,UK,United Kingdom,U.K.",1,94,"domain member region",108414397,"noun.group",14,"n","local authority#1(local_authority%1:14:00::)","an administrative unit of local government","","local authority"
"united kingdom of great britain and northern ireland",108793769,,"noun.location",15,"n","Britain#1(britain%1:15:00::),Great Britain#1(great_britain%1:15:01::),United Kingdom of Great Britain and Northern Ireland#1(united_kingdom_of_great_britain_and_northern_ireland%1:15:00::),UK#1(uk%1:15:00::),United Kingdom#1(united_kingdom%1:15:00::),U.K.#1(u.k.%1:15:00::)","a monarchy in northwestern Europe occupying most of the British Isles; divided into England and Scotland and Wales and Northern Ireland; `Great Britain' is often used loosely to refer to the United Kingdom","","Britain,Great Britain,United Kingdom of Great Britain and Northern Ireland,UK,United Kingdom,U.K.",1,94,"domain member region",110499645,"noun.person",18,"n","scrutineer#1(scrutineer%1:18:00::),canvasser#2(canvasser%1:18:01::)","someone who examines votes at an election","","scrutineer,canvasser"
"united kingdom of great britain and northern ireland",108793769,,"noun.location",15,"n","Britain#1(britain%1:15:00::),Great Britain#1(great_britain%1:15:01::),United Kingdom of Great Britain and Northern Ireland#1(united_kingdom_of_great_britain_and_northern_ireland%1:15:00::),UK#1(uk%1:15:00::),United Kingdom#1(united_kingdom%1:15:00::),U.K.#1(u.k.%1:15:00::)","a monarchy in northwestern Europe occupying most of the British Isles; divided into England and Scotland and Wales and Northern Ireland; `Great Britain' is often used loosely to refer to the United Kingdom","","Britain,Great Britain,United Kingdom of Great Britain and Northern Ireland,UK,United Kingdom,U.K.",1,94,"domain member region",107608252,"noun.food",13,"n","banger#1(banger%1:13:00::)","(British informal) pork sausage","","banger"
"united kingdom of great britain and northern ireland",108793769,,"noun.location",15,"n","Britain#1(britain%1:15:00::),Great Britain#1(great_britain%1:15:01::),United Kingdom of Great Britain and Northern Ireland#1(united_kingdom_of_great_britain_and_northern_ireland%1:15:00::),UK#1(uk%1:15:00::),United Kingdom#1(united_kingdom%1:15:00::),U.K.#1(u.k.%1:15:00::)","a monarchy in northwestern Europe occupying most of the British Isles; divided into England and Scotland and Wales and Northern Ireland; `Great Britain' is often used loosely to refer to the United Kingdom","","Britain,Great Britain,United Kingdom of Great Britain and Northern Ireland,UK,United Kingdom,U.K.",1,94,"domain member region",302335489,"adj.all",0,"s","bloody-minded#1(bloody-minded%5:00:00:stubborn:00),cantankerous#1(cantankerous%5:00:00:stubborn:00)","stubbornly obstructive and unwilling to cooperate","unions...have never been as bloody-minded about demarcation as the shipbuilders","bloody-minded,cantankerous"
