"MORPHID","LEMMA","POS","MORPH"
190,"awake","v","awoke"
192,"ax","n","axes"
193,"axilla","n","axillae"
192,"axis","n","axes"
194,"baby","v","babied"
196,"baby-sit","v","baby-sitting"
195,"baby-sit","v","baby-sat"
197,"bacchant","n","bacchantes"
197,"bacchante","n","bacchantes"
198,"bacillus","n","bacilli"
200,"backbite","v","backbitten"
199,"backbite","v","backbit"
201,"backer","a","backer"
203,"backslide","v","backslidden"
202,"backslide","v","backslid"
204,"bacteriostasis","n","bacteriostases"
4855,"bad","a","worst"
4852,"bad","a","worse"
209,"bag","v","bagging"
206,"bag","v","bagged"
208,"baggy","a","baggiest"
207,"baggy","a","baggier"
210,"bain-marie","n","bains-marie"
212,"balky","a","balkiest"
211,"balky","a","balkier"
213,"ballista","n","ballistae"
215,"ballyrag","v","ballyragging"
214,"ballyrag","v","ballyragged"
217,"balmy","a","balmiest"
216,"balmy","a","balmier"
293,"behold","v","beholden"
292,"behold","v","beheld"
295,"bejewel","v","bejewelling"
294,"bejewel","v","bejewelled"
299,"belie","v","belying"
296,"belly","v","bellied"
298,"belly-flop","v","belly-flopping"
297,"belly-flop","v","belly-flopped"
302,"bend","v","bent"
329,"bijou","n","bijoux"
330,"billfish","n","billfishes"
331,"bimbo","n","bimboes"
333,"bin","v","binning"
332,"bin","v","binned"
429,"bind","v","bound"
342,"bit","v","bitting"
338,"bit","v","bitted"
336,"bitchy","a","bitchiest"
335,"bitchy","a","bitchier"
339,"bite","v","bitten"
334,"bite","v","bit"
337,"biter","a","biter"
341,"bitty","a","bittiest"
340,"bitty","a","bittier"
344,"bivouac","v","bivouacking"
343,"bivouac","v","bivouacked"
346,"blab","v","blabbing"
345,"blab","v","blabbed"
301,"benefit","v","benefitting"
300,"benefit","v","benefitted"
303,"berry","v","berried"
305,"beseech","v","besought"
304,"beset","v","besetting"
307,"bespeak","v","bespoken"
306,"bespeak","v","bespoke"
310,"bestir","v","bestirring"
309,"bestir","v","bestirred"
311,"bestrew","v","bestrewn"
314,"bestride","v","bestrode"
313,"bestride","v","bestridden"
312,"bestride","v","bestrid"
318,"bet","v","betting"
316,"bet","v","betted"
315,"bethink","v","bethought"
320,"bevel","v","bevelling"
319,"bevel","v","bevelled"
322,"bias","v","biassing"
321,"bias","v","biassed"
323,"bibliotheca","n","bibliothecae"
324,"bicentenary","n","bicennaries"
324,"bicentennial","n","bicennaries"
326,"bid","v","bidding"
