"LEMMA","POS","POLYSEMY_CNT"
"sabine river","n",1
"platanthera","n",1
"speculator","n",2
"elaeagnus latifolia","n",1
"angora rabbit","n",1
"designation","n",3
"sufism","n",1
"outcaste","n",1
"beefwood","n",5
"mug shot","n",1
"frozen","s",6
"sneak","v",4
"kick around","v",3
"high-resolution","a",1
"forgive","v",2
"separate out","v",1
"buoyant","s",2
"continent","s",1
"stable","a",1
"half-track","s",1
"edit","v",4
"broaden","v",4
"united","a",1
"employ","v",2
"circumcise","v",2
"dike","v",1
"rock rabbit","n",2
"ammo","n",1
"quinnat salmon","n",1
"inappropriateness","n",2
"calcium blocker","n",1
"hack","v",8
"lawyer bush","n",1
"red bone marrow","n",1
"libidinal energy","n",1
"muciferous","a",1
"pate feuillete","n",1
"zoanthropy","n",1
"rosy-cheeked","s",1
"sense of right and wrong","n",1
"outburst","n",3
"red porgy","n",1
"mercantile law","n",1
"draco","n",3
"gulp","n",2
"purcell","n",1
"fils","n",2
"court of domestic relations","n",1
"bettor","n",1
"tundra soil","n",1
"fish stick","n",1
"jerusalem","n",1
"post office","n",3
"synodontidae","n",1
"strings","n",2
"center stage","n",2
"daftly","r",1
"fain","r",1
"modern world","n",1
"energize","v",2
"deplore","v",2
"subsidy","n",1
"hairsbreadth","n",1
"sting","v",5
"abominably","r",2
"savor","v",4
"preexistent","s",1
"reasoned","s",1
"genus sciaena","n",1
"thalamostriate vein","n",1
"shavian","n",1
"binge-purge syndrome","n",1
"leppy","n",1
"byway","n",1
"grand rapids","n",1
"negation","n",3
"cyphomandra","n",1
"dietrich bonhoeffer","n",1
"limbic system","n",1
"heedfulness","n",1
"starting gate","n",1
"mandatary","n",1
"diametrical opposition","n",1
"mouth harp","n",1
"rambotan","n",2
"zep","n",1
"amen cadence","n",1
"tingling","s",1
"sweet calamus","n",1
"invertebrate foot","n",1
"double cross","v",1
"nybble","n",1
"launch","n",2
"windpipe","n",1
"navy cross","n",1
"sextuplet","n",1
"medical dressing","n",1
"order polemoniales","n",1
"vibration","n",4
"digress","v",2
"uncrystallized","s",1
"evaluative","s",1
"dun","s",1
"locking","n",1
"bird parker","n",1
"dirty laundry","n",1
"t.b.","n",1
"gas fitting","n",1
"uruguayan","a",1
"army national guard","n",1
"zoning commission","n",1
"genus cotinus","n",1
"isaac mayer wise","n",1
"parseeism","n",1
"elf","n",2
"carabiner","n",1
"repp","n",1
"marsh st-john's wort","n",1
"new netherland","n",1
"simultaneousness","n",1
"hf","n",2
"social affair","n",1
"pellaea atropurpurea","n",1
"denigratory","s",1
"java sparrow","n",1
"port louis","n",1
"prejudiced","s",1
"japanese oak","n",2
"metrazol shock therapy","n",1
"bergson","n",1
"altaic","a",1
"good-humoredness","n",1
"blantyre","n",1
"transport ship","n",1
"black-winged stilt","n",1
"1st lieutenant","n",1
"obi","n",2
"television pickup tube","n",1
"saimiri","n",1
"gleam","n",2
"brumous","s",1
"strong","s",11
"occluded","s",2
"gastric","a",1
"washed-out","s",2
"least of all","r",1
"install","v",3
"brimming","s",1
"abode","n",2
"emulsify","v",2
"altruistically","r",1
"liszt","n",1
"vena labialis","n",2
"bellyless","a",1
"respiratory illness","n",1
"budgerygah","n",1
"beirut","n",1
"water cannon","n",1
"lathyrus maritimus","n",1
"detail file","n",1
"vision","n",5
"eliezer wiesel","n",1
"shipping room","n",1
"bibliomania","n",1
"life line","n",1
"quiz","n",1
"kayser-fleischer ring","n",1
"sweetbread","n",1
"roc","n",1
"immune","n",1
"mountain sumac","n",1
"straight","a",5
"spicate","a",1
"antagonistic muscle","n",1
"composing","n",2
"apostle","n",3
"denationalise","v",1
"existing","s",2
"peer","v",1
"brushlike","s",1
"retiring","s",3
"instruction","n",4
"vasectomize","v",1
"rustling","s",1
"wheelless","a",1
"purchasing","n",1
"conserve","v",4
"versatile","s",4
"genus triglochin","n",1
"ewer","n",1
"sequoiadendron giganteum","n",1
"flip","n",6
"currant bush","n",1
"metacarpophalangeal joint","n",1
"genus cyamus","n",1
"ambystoma talpoideum","n",1
"spirit lamp","n",1
"grange","n",1
"arthur honegger","n",1
"fairness commission","n",1
"abettor","n",1
"international finance corporation","n",1
"gyromitra infula","n",1
"donets basin","n",1
"unbooked","s",1
"cotton grass","n",1
"crownbeard","n",1
"genus calluna","n",1
"trade deficit","n",1
"take arms","v",1
"scarlet bush","n",1
"existential philosopher","n",1
"noose","v",2
"albinism","n",1
"three-petaled","s",1
"mary baker eddy","n",1
"lorenz okenfuss","n",1
"guy","v",2
"unsettled","a",2
"monosodium glutamate","n",1
"adjustable","s",2
"semiprivate","s",1
"so","r",10
"saleroom","n",1
"cut away","v",2
"ennoble","v",2
"thenceforth","r",1
"carya myristiciformis","n",1
"supercharge","v",2
"iron collar","n",1
"dhak","n",1
"orectolobus barbatus","n",1
"invert soap","n",1
"alexic","a",1
"philosophical system","n",1
"recurrently","r",1
"lactosuria","n",1
"epistemic logic","n",1
"thermoelectric thermometer","n",1
"double date","n",1
"journalism","n",2
"bust-up takeover","n",1
"long-bodied","s",1
"coeducate","v",1
"nuclear engineering","n",1
"conjuring trick","n",1
"unadorned","a",1
"capital of guatemala","n",1
"helpmeet","n",1
"treaty of versailles","n",1
"differentiated","s",1
"alternation of generations","n",1
"micromeria douglasii","n",1
"fire watcher","n",1
"helladic culture","n",1
"queensland grass-cloth plant","n",1
"genus amphiprion","n",1
"novillada","n",1
"poker","n",2
"slothfulness","n",1
"larch","n",2
"vinyl polymer","n",1
"field-pea plant","n",1
"140th","s",1
"basseterre","n",1
"pashtoon","n",1
"ill-humored","s",1
"tractile","s",1
"crooked","s",2
"mastaba","n",1
"pasteurize","v",1
"windward","a",1
"probably","r",2
"numbly","r",1
"behindhand","s",1
"rationalise away","v",1
"comfortableness","n",2
"repellently","r",1
"sahara desert","n",1
"work-clothing","n",1
"relation","n",6
"corundom","n",1
"confirmable","s",1
"piles","n",2
"horseshoe arch","n",1
"cadence","n",3
"watermelon begonia","n",1
"genus pyrola","n",1
"bilious","a",1
"genus tragopogon","n",1
"astreus hygrometricus","n",1
"challenge","n",5
"caparisoned","s",1
"syndicator","n",1
"acetate","n",2
"meiji tenno","n",1
"genus lagerstroemia","n",1
"candidness","n",1
"beef broth","n",1
"home run","n",2
"clover-leaf roll","n",1
"saucepot","n",1
"ladino","n",1
"archipelago","n",1
"mysophobia","n",1
"thomas de quincey","n",1
"poyang","n",1
"smoothing iron","n",1
"haircut","n",2
"tall gallberry holly","n",1
"libber","n",1
"teach","n",1
"armature","n",1
"catastrophic","s",1
"travel along","v",1
"at variance","s",1
"dismissible","s",1
"induce","v",5
"vapidly","r",1
"bewildered","s",1
"elusiveness","n",1
"amok","r",2
"domicile","n",2
"neediness","n",2
"longer","n",1
"common cold","n",1
"dice","v",2
"ventriculus","n",1
"toying","n",1
"ai","n",4
"citadel","n",1
"sarracenia","n",1
"tree hugger","n",1
"opisthocomus hoazin","n",1
"lime","n",6
"cleft","s",2
"pharmacist","n",1
"discourteous","s",1
"rallying cry","n",2
"shopping cart","n",1
"saccharomycetaceae","n",1
"maniraptora","n",1
"ruddy","s",2
"sweet false chamomile","n",1
"literal error","n",1
"paraphilia","n",1
"alexandrian laurel","n",1
"peireskia","n",1
"kinaesthesis","n",1
"pressure suit","n",1
"accipiter cooperii","n",1
"platanus occidentalis","n",1
"patwin","n",2
"phylloclade","n",1
"milky way galaxy","n",1
"jalapeno pepper","n",1
"enesco","n",1
"irregularity","n",4
"ibsenian","a",1
"micturition","n",1
"slashing","s",1
"boneless","a",1
"contributive","s",1
"flow away","v",1
"self-justification","n",1
"instantiate","v",2
"diminutive","s",1
"anecdotal","s",1
"faithless","s",1
"sort of","r",1
"enmity","n",2
"tectaria cicutaria","n",1
"have","n",1
"frost-weed","n",2
"football team","n",1
"imitation leather","n",1
"niffy","s",1
"spin","n",5
"foliaged","s",1
"chyle","n",1
"enterolobium","n",1
"ottava rima","n",1
"anton chekhov","n",1
"dromaeosaur","n",1
"federal law enforcement training center","n",1
"pancreatic duct","n",1
"shell corporation","n",1
"tax-exempt security","n",1
"eleotridae","n",1
"greater swiss mountain dog","n",1
"reluctantly","r",1
"emirate","n",2
"sodomite","n",1
"silene caroliniana","n",1
"myopic","a",1
"lissome","s",1
"gramma grass","n",1
"stein","n",2
"diagnostic program","n",1
"dovish","s",1
"fleshed out","s",1
"empanel","v",2
"output","n",5
"profile","v",2
"immeasurably","r",2
"lightning hurler","n",1
"male horse","n",1
"aleyrodidae","n",1
"water bed","n",1
"schrod","n",2
"burden","v",2
"religious doctrine","n",1
"incubator","n",1
"sewer system","n",1
"fanaloka","n",1
"diffused","a",1
"artificiality","n",1
"brezhnev","n",1
"damping off","n",1
"ulysses grant","n",1
"percher","n",2
"movable","s",2
"robert wilhelm bunsen","n",1
"jack-a-lantern","n",1
"cheval-de-frise","n",1
"closed-class word","n",1
"snarer","n",1
"nopal","n",2
"500","s",1
"collateral fraud","n",1
"officialese","n",1
"jungian","a",1
"eastern roman empire","n",1
"abetment","n",1
"primary election","n",1
"litterer","n",1
"snuffers","n",1
"woolsorter","n",1
"aladdin's lamp","n",1
"shave","n",1
"brass knucks","n",1
"torture","v",2
"coastwise","r",1
"big deal","n",2
"relentless","s",2
"decree","n",1
"disregarded","s",1
"escalation","n",1
"destitute","s",2
"binge-vomit syndrome","n",1
"mrna","n",1
"anchovy pear tree","n",1
"drumbeater","n",1
"gulu","n",1
"camera care","n",1
"standdown","n",2
"hypocreales","n",1
"eastern united states","n",1
"confederate","n",3
"devilment","n",1
"nonvascular plant","n",1
"nilotic","a",2
"fly ash","n",1
"planck","n",1
"loganberry","n",2
"skittishness","n",1
"musculus trapezius","n",1
"atomic number 83","n",1
"ear-like","s",1
"order hymenoptera","n",1
"grasshopper mouse","n",1
"microdipodops","n",1
"sete quedas","n",1
"shipment","n",2
"secondary censorship","n",1
"velvet bent grass","n",1
"ecg","n",1
"technology","n",3
"fleck","n",2
"diligence","n",3
"monometallic","a",1
"verbalize","v",4
"disconcerted","s",1
"stunt man","n",1
"unregistered","a",2
"this night","r",1
"salvia clarea","n",1
"nebraskan","n",1
"fuscoboletinus serotinus","n",1
"rub off","v",1
"granuloma venereum","n",1
"maniac","n",2
"adjuratory","s",2
"vena palatina","n",1
"japanese pink","n",1
"medical aid","n",1
"jacksnipe","n",2
"order tuberales","n",1
"telemann","n",1
"post-menopause","n",1
"malpighiaceae","n",1
"dynamite","n",1
"jimsonweed","n",1
"radiochlorine","n",1
"salamandra","n",1
"hypo-eutectoid steel","n",1
"cathectic","a",1
"stimulant drug","n",1
"landscapist","n",2
"belt-fed","s",1
"valentina tereshkova","n",1
"robert motherwell","n",1
"red-berry","n",2
"religious right","n",1
"affaire","n",1
"ironing board","n",1
"tussle","v",2
"transplant","n",3
"operating room","n",1
"investigate","v",2
"sensorial","a",1
"ethereal","a",1
"stoically","r",1
"realised","s",1
"conceal","v",2
"rake in","v",1
"sexual assault","n",1
"oleomargarine","n",1
"nephrotic syndrome","n",1
"comte","n",1
"family guttiferae","n",1
"incurvate","s",1
"department of health and human services","n",1
"nauruan","n",1
"nickel-iron accumulator","n",1
"the three estates","n",1
"glyph","n",1
"arthrodesis","n",1
"tear gas","n",1
"mennonitism","n",1
"trapezoid","n",2
"paresis","n",1
"saceur","n",1
"cirrostratus","n",1
"asphodeline lutea","n",1
"card index","n",1
"susah","n",1
"grivet","n",1
"tropic","n",1
"direct marketing","n",1
"morion","n",1
"marmite","n",2
"mesmerised","s",1
"cyanide poisoning","n",1
"kaleidoscope","n",2
"electric dipole moment","n",1
"barrater","n",1
"afrikaans","n",1
"hexagonal","a",1
"fallow","n",1
"bead","n",3
"depressor muscle","n",1
"nutbrown","s",1
"episcopalian","a",1
"pro","a",1
"venetian","a",1
"neurotically","r",1
"call into question","v",1
"fatigue duty","n",1
"emoticon","n",1
"godspeed","n",1
"economic aid","n",1
"dry out","v",3
"magnanimous","s",2
"greenly","r",1
"valiantly","r",1
"pull off","v",4
"astounding","s",2
"dice","n",1
"chyloderma","n",1
"gauffer","n",2
"crossopterygii","n",1
"working memory","n",1
"gianni versace","n",1
"genus plesiosaurus","n",1
"untempting","s",2
"biosystematic","a",1
"copyright","n",1
"hominy","n",1
"pulasan","n",2
"rising trot","n",1
"shalom asch","n",1
"lovelace","n",1
"assuan","n",1
"chaplin","n",1
"ravenousness","n",1
"behest","n",1
"all-victorious","s",1
"bankrupt","n",1
"furcation","n",1
"water tank","n",1
"keratosis pilaris","n",1
"broadaxe","n",1
"southwestwardly","r",1
"flaxseed oil","n",1
"entertain","v",3
"momordica","n",1
"nark","v",2
"commendable","r",1
"offstage","a",1
"inflationary","a",1
"unpermed","s",1
"stocktaking","n",2
"highschool","n",1
"underdevelop","v",1
"noticeable","s",1
"quality of life","n",1
"haemulon malanurum","n",1
"mycenaean culture","n",1
"putsch","n",1
"clangula","n",1
"smoothbore","a",1
"transitorily","r",1
"light pen","n",1
"miliary fever","n",1
"genus cetonia","n",1
"intensive care unit","n",1
"genus lagenaria","n",1
"class basidiomycetes","n",1
"refining","n",1
"boojum tree","n",1
"lyric","n",2
"malcontent","s",1
"ectopic pregnancy","n",1
"microstrobos","n",1
"socotra begonia","n",1
"sleet","n",1
"faddish","s",1
"wombat","n",1
"family asclepiadaceae","n",1
"geometric progression","n",1
"untier","n",1
"impart","v",3
"expected","a",1
"psychical","s",2
"de facto","r",1
"alternately","r",1
"airdrop","n",1
"boreas","n",2
"speedy","s",2
"judicially","r",2
"decorously","r",1
"oestrone","n",1
"pseudoryx","n",1
"league","n",3
"subfamily turdinae","n",1
"subsidiary","n",2
"uninviting","s",1
"appreciativeness","n",1
"prunus pumilla susquehanae","n",1
"rip up","v",1
"man of deeds","n",1
"fugacity","n",2
"motorcycle cop","n",1
"whence","r",1
"hermaphrodite","n",1
"co","n",4
"sodium thiopental","n",1
"conjoined twin","n",1
"phylum cycliophora","n",1
"south american indian","n",1
"cloven-footed","a",1
"mush","v",2
"re-formation","n",1
"sulphur-yellow","s",1
"farmyard","n",1
"blockheaded","s",1
"pallidum","n",1
"misogynic","s",1
"planktonic algae","n",1
"waiter","n",2
"mediterranean hackberry","n",1
"father surrogate","n",1
"combine","n",3
"meibomian gland","n",1
"babe","n",1
"horsehair wig","n",1
"irrational impulse","n",1
"o.k.","r",1
"identity element","n",1
"subordinate","v",2
"ladylike","s",1
"sicilian","a",1
"latter","n",1
"sow","n",1
"beef tallow","n",1
"parity","n",5
"spherical polygon","n",1
"focal infection","n",1
"plantain tree","n",1
"gas","v",2
"genus chironomus","n",1
"wendy house","n",1
"threadfish","n",1
"common ax","n",1
"genus gorilla","n",1
"potboiler","n",1
"old italian","n",1
"castillian","n",1
"arthrogram","n",1
"croton","n",2
"henri rousseau","n",1
"x-ray photograph","n",1
"sprain","n",1
"inherited disease","n",1
"kidney begonia","n",1
"greengrocery","n",2
"directorate for inter-services intelligence","n",1
"hawksbill turtle","n",1
"air marshal","n",1
"winter crookneck squash","n",2
"photosensitivity","n",1
"cranial cavity","n",1
"electrostatic printer","n",1
"houttuynia","n",1
"swayer","n",1
"screen out","v",1
"insensitive","a",2
"coddle","v",2
"epizootic","s",1
"writhen","s",1
"antigram","n",1
"allied","s",3
"oversea","r",1
"chantlike","s",1
"phoebe bird","n",1
"teratoma","n",1
"aromatic compound","n",1
"harry sinclair lewis","n",1
"pholiota destruens","n",1
"short-spurred fragrant orchid","n",1
"myrmecophagidae","n",1
"direction finder","n",1
"collagen","n",1
"golden handshake","n",1
"case load","n",1
"school board","n",1
"u.k.","n",1
"dovyalis hebecarpa","n",1
"wavy-grained","s",1
"folie","n",1
"tony blair","n",1
"high fidelity sound system","n",1
"electric lamp","n",1
"savings and loan","n",1
"asiatic cholera","n",1
"quagmire","n",1
"mid-thirties","n",1
"attacker","n",1
"converging lens","n",1
"asteroid","s",1
"standing operating procedure","n",1
"advect","v",1
"one-way","s",1
"extensile","a",1
"childless","s",1
"periodic","a",1
"cosmogonic","a",1
"yearly","r",1
"never","r",2
"strike a note","v",1
"speechify","v",1
"jean arp","n",1
"locule","n",1
"luge","v",1
"ukrayina","n",1
"informing","n",2
"rheumatology","n",1
"cannister","n",1
"sigmoid flexure","n",1
"suffragette","n",1
"george bush","n",2
"killingly","r",1
"concentration camp","n",2
"rebato","n",1
"deus ex machina","n",1
"headlamp","n",1
"smoke-cured","s",1
"trap door","n",1
"underground press","n",1
"genus shigella","n",1
"squashy","s",3
"polar glacier","n",1
"limper","n",1
"impotence","n",2
"atrichornithidae","n",1
"order urticales","n",1
"walter john de la mare","n",1
"hot-dog","v",1
"homogeneous polynomial","n",1
"girondist","n",1
"yerba buena","n",1
"nerve plexus","n",1
"edd","n",1
"water jug","n",1
"family reduviidae","n",1
"order acarina","n",1
"perennial pea","n",1
"paternity test","n",1
"external carotid","n",1
"copper pyrites","n",1
"put to death","v",1
"on the one hand","r",1
"norwegian","a",1
"inconvenient","s",1
"triturus vulgaris","n",1
"sofia scicolone","n",1
"henry luce","n",1
"evaluation","n",2
"reprehensibly","r",1
"sinclair lewis","n",1
"genus flindersia","n",1
"underdog","n",1
"clam dip","n",1
"naturist","n",1
"vicar","n",3
"reviser","n",1
"onychosis","n",1
"orderly","n",2
"rain stick","n",1
"nightwalker","n",1
"sparmannia africana","n",1
"single-bedded","s",1
"lowell jackson thomas","n",1
"eye muscle","n",1
"unclimbable","a",1
"tamias","n",1
"ill-being","n",1
"mistrial","n",1
"monegasque","n",1
"family tethyidae","n",1
"lemon peel","n",2
"genus tilia","n",1
"fire fighter","n",1
"genus rumex","n",1
"sick bag","n",1
"clumsiness","n",3
"earl marshal","n",1
"bassine","n",1
"soulfully","r",1
"synoptic","a",1
"garrote","v",1
"homegrown","s",1
"yieldingly","r",1
"genus calycanthus","n",1
"hertzian wave","n",1
"parasailing","n",1
"feebleminded","s",1
"benjamin david goodman","n",1
"chock","n",1
"bay laurel","n",1
"comparative negligence","n",1
"searching fire","n",1
"genus carduelis","n",1
"relative frequency","n",1
"motion-picture fan","n",1
"kingbird","n",1
"charmingly","r",1
"ketone body","n",1
"walton","n",3
"nickel bronze","n",1
"pallas","n",2
"family indriidae","n",1
"oak","n",2
"diarrhea","n",1
"genus quercus","n",1
"halogeton souda","n",1
"peanut worm","n",1
"iridic","a",2
"comma","n",2
"mongolism","n",1
"legging","n",1
"counterspy","n",1
"chelicera","n",1
"winterberry","n",1
"genus blastomyces","n",1
"joke","n",4
"increment","n",2
"nosy","s",1
"awing","s",1
"transnational","s",1
"sweep up","v",2
"lasso","v",1
"chromium-plate","v",1
"mountain heath","n",1
"canary bird","n",1
"size stick","n",1
"cock","n",5
"swan's down","n",2
"croix de guerre","n",1
"karen blixen","n",1
"manul","n",1
"mossback","n",1
"reinvigorated","s",1
"athena","n",1
"toastmaster","n",1
"tamp","n",1
"tribe bambuseae","n",1
"wnw","n",1
"landfall","n",2
"drug user","n",1
"nautical linear unit","n",1
"todus","n",1
"vandyke brown","n",1
"boracic acid","n",1
"bayt lahm","n",1
"ajaia","n",1
"urobilinogen","n",1
"townsend","n",1
"balsam of peru","n",1
"flocculation","n",1
"sweet potato vine","n",1
"ovule","n",2
"cone","n",4
"asternal","s",1
"adpressed","s",1
"vernal","s",1
"stomp","v",1
"byname","n",1
"plagiaristic","s",1
"peripheral","n",1
"spuriously","r",1
"hypermetropia","n",1
"abudefduf","n",1
"falsifiable","s",1
"gautama","n",1
"amentaceous","s",1
"enl","n",1
"rhode island red","n",1
"trichobezoar","n",1
"abracadabra","n",1
"cecil john rhodes","n",1
"osaka bay","n",1
"tagus","n",1
"freetail","n",1
"phone company","n",1
"stewing pan","n",1
"sweet gum tree","n",1
"shrublet","n",1
"chrysopidae","n",1
"algarrobilla","n",1
"germanic","n",1
"cordon bleu","n",2
"multiplexer","n",1
"mahound","n",1
"analytical geometry","n",1
"liquid air","n",1
"olive-brown","s",1
"bomber jacket","n",1
"terminological","a",1
"unforgivingly","r",1
"alacrity","n",1
"stereotypical","s",1
"epistolary","s",1
"leonardo da vinci","n",1
"despoiler","n",1
"black rat snake","n",1
"funeral home","n",1
"common wood sorrel","n",1
"honk","n",1
"using up","n",1
"partner in crime","n",1
"coureur de bois","n",1
"true sago palm","n",1
"fuji cherry","n",1
"smocking","n",1
"stuffed mushroom","n",1
"rest house","n",1
"vitalist","n",1
"sitta canadensis","n",1
"guard's van","n",1
"karelian isthmus","n",1
"hall of fame","n",1
"allergen","n",1
"amphiuma","n",1
"genus ostrea","n",1
"theorem","n",2
"illegality","n",1
"subhuman","s",1
"already","r",1
"academically","r",1
"petulantly","r",1
"xeric","a",1
"precess","v",1
"bet on","v",1
"quiche","n",3
"yottabit","n",1
"stocks","n",3
"yellow-tinged","s",1
"pichiciego","n",1
"genus leptopteris","n",1
"dinocerate","n",1
"mother-naked","s",1
"canna","n",1
"petticoat","n",1
"national anthem","n",1
"genus strepsiceros","n",1
"tyrannus tyrannus","n",1
"snow-in-summer","n",2
"chaenomeles speciosa","n",1
"decentralising","a",1
"rhinonicteris","n",1
"tertiary","n",1
"gamete","n",1
"substance abuser","n",1
"ganges","n",1
"striatum","n",1
"cytomegalic","s",1
"fragrant wood fern","n",1
"playscript","n",1
"baksheesh","n",1
"costa rican monetary unit","n",1
"milady","n",1
"followers of the prophet","n",1
"walter lippmann","n",1
"western wheatgrass","n",1
"contraceptive","n",1
"anfractuous","s",1
"mental attitude","n",1
"lay to rest","v",1
"look out on","v",1
"phase space","n",1
"mesophytic","s",1
"belatedly","r",1
"inferior rectus muscle","n",1
"neurohormone","n",1
"campanula pyramidalis","n",1
"hassid","n",1
"trousseau","n",1
"unburden","v",2
"container","n",1
"cakewalk","n",2
"dwight david eisenhower","n",1
"dorothy mary crowfoot hodgkin","n",1
"martyr","n",2
"leicestershire","n",1
"amphitheatrum flavium","n",1
"tunisian dinar","n",1
"hollow-eyed","s",1
"joseph alois schumpeter","n",1
"nuremberg","n",1
"john napier","n",1
"naan","n",1
"ladyship","n",1
"mumpsimus","n",1
"ill-famed","s",1
"low-level","s",3
"paul","n",2
"synesthetic","a",1
"uxoricide","n",2
"shimmer","v",2
"aalst","n",1
"pyxidanthera barbulata","n",1
"molar pregnancy","n",1
"tadeusz andrzej bonawentura kosciuszko","n",1
"yellow lupine","n",1
"dogsled","n",1
"launching site","n",1
"achaean","n",2
"zoisia","n",1
"charles m. schulz","n",1
"parental quality","n",1
"rumble seat","n",1
"onager","n",2
"albert michelson","n",1
"mishnaic","a",1
"intravasation","n",1
"usableness","n",1
"quito","n",1
"order octopoda","n",1
"euglenophyceae","n",1
"oil industry","n",1
"luminal","n",1
"class charophyceae","n",1
"yellow bile","n",1
"st peter's wort","n",1
"european swift","n",1
"documental","a",1
"touchable","a",1
"frisking","n",1
"admissible","a",1
"tearful","a",1
"smooth","n",1
"thingummy","n",1
"dollar volume","n",1
"rounding error","n",1
"gourmandizer","n",1
"breathing time","n",1
"alcaic verse","n",1
"applicative","s",1
"banzai","n",1
"pederastic","a",1
"goat willow","n",1
"interesting","a",1
"greenockite","n",1
"carya glabra","n",1
"laptop computer","n",1
"ronald wilson reagan","n",1
"meld","n",1
"family nidulariaceae","n",1
"city of the angels","n",1
"benzol","n",1
"jar","v",5
"trafalgar square","n",1
"fingernail","n",1
"catharism","n",1
"come into","v",1
"buxaceae","n",1
"candy apple","n",1
"phreatic","a",1
"virile","a",1
"suffering","s",2
"glide by","v",1
"unbodied","s",1
"manducate","v",1
"carpenter's hammer","n",1
"tyrannosaur","n",1
"recap","n",2
"shish kebab","n",1
"tortricidae","n",1
"wampumpeag","n",1
"saddlebag","n",1
"carnegiea","n",1
"night court","n",1
"ridiculousness","n",1
"retrograde","s",2
"petrochemical","n",1
"trumpet creeper","n",1
"frown line","n",1
"angioma","n",1
"nitrogen trichloride","n",1
"pteris","n",1
"pitching wedge","n",1
"entoblast","n",1
"nervus trigeminus","n",1
"hibiscus elatus","n",1
"accent mark","n",1
"ousel","n",1
"wych elm","n",1
"genus branchiobdella","n",1
"inamorata","n",1
"salvinorin","n",1
"ranalian complex","n",1
"pain","v",2
"engine","n",4
"spirit","v",1
"in the lead","r",1
"discard","v",1
"stop number","n",1
"trabeate","s",1
"alcohol thermometer","n",1
"dodecagon","n",1
"general relativity","n",1
"gongorist","n",1
"magneto","n",1
"bullfighter","n",1
"matthew walker knot","n",1
"viola ocellata","n",1
"horseback rider","n",1
"destroyable","s",1
"clinopodium","n",1
"hunting and gathering tribe","n",1
"order pectinibranchia","n",1
"family indicatoridae","n",1
"perigee","n",1
"subsection","n",1
"lagarostrobus colensoi","n",1
"exonerative","s",1
"noncarbonated","s",1
"edaphosaurus","n",1
"frosting","n",1
"know-nothing party","n",1
"farmhand","n",1
"champ","n",1
"cycling","n",1
"pepper shrub","n",1
"crossbar","n",3
"discomycetes","n",1
"breakwater","n",1
"new moon","n",1
"tussock","n",1
"false vocal fold","n",1
"genus cecropia","n",1
"syllabicate","v",1
"intraspecific","a",1
"proudly","r",1
"aleph-nought","n",1
"scarf bandage","n",1
"layby","n",1
"wickerwork","n",1
"silver tree fern","n",1
"unaddicted","a",1
"space lattice","n",1
"wolf boy","n",1
"french bulldog","n",1
"blood berry","n",1
"instrumental music","n",2
"tyrosine","n",1
"jotting","n",1
"fuckup","n",2
"tom-tom","n",1
"ingres","n",1
"personnel casualty","n",1
"william falkner","n",1
"dyer's mignonette","n",1
"brocade","v",1
"militiaman","n",1
"cygnus columbianus","n",1
"hand line","n",1
"black box","n",1
"violin family","n",1
"surety bond","n",1
"exteriorization","n",1
"guestworker","n",1
"cold cash","n",1
"interpersonal chemistry","n",1
"perilous","s",1
"botanic","a",1
"interconnectedness","n",1
"meanderingly","r",1
"manual","a",2
"preaching","n",2
"undeceived","s",1
"nasal septum","n",1
"know what's going on","v",1
"auto-mechanic","n",1
"brewer's mole","n",1
"protoanthropology","n",1
"acneiform","a",1
"bogeyman","n",1
"nuclear club","n",1
"hundred dollar bill","n",1
"moloch","n",3
"air-filled","s",1
"araguaia river","n",1
"pigeon toes","n",1
"chen caerulescens","n",1
"reassign","v",1
"devil's food cake","n",1
"deaf-aid","n",1
"clivers","n",1
"mocking thrush","n",1
"cupping","n",1
"palm family","n",1
"plain-woven","s",1
"platinum blonde","n",1
"ground pink","n",1
"eastern red cedar","n",1
"togo","n",1
"sunburn","n",2
"tear away","v",1
"communicating","n",1
"stamping machine","n",1
"strip show","n",1
"clerical","a",2
"pearlfish","n",1
"straw poll","n",1
"white dogtooth violet","n",1
"ambrosia psilostachya","n",1
"genus tithonia","n",1
"sanfoin","n",1
"ernst theodor amadeus hoffmann","n",1
"cluster bomblet","n",1
"phantom orchid","n",1
"curtain off","v",1
"coffea canephora","n",1
"buttercup","n",1
"raindrop","n",1
"early warning radar","n",1
"order branchiura","n",1
"pompous","a",1
"orthodontic braces","n",1
"mariner","n",1
"bracing","n",1
"cottrell precipitator","n",1
"savings bond","n",1
"swimming crab","n",1
"intertidal","a",1
"workhorse","n",2
"heathenish","s",1
"small indefinite amount","n",1
"batfowl","v",1
"commission on the status of women","n",1
"inexorableness","n",1
"penning","n",1
"flooded","s",1
"colonise","v",2
"heed","v",1
"persevering","s",1
"tau coefficient of correlation","n",1
"antler moth","n",1
"zymolytic","a",1
"misshapenness","n",1
"sino-tibetan language","n",1
"little league","n",1
"solidago rugosa","n",1
"shnorrer","n",1
"license fee","n",1
"americium","n",1
"trifolium alpinum","n",1
"heliotropism","n",1
"shawnee cake","n",1
"monophysitism","n",1
"calyptrate","a",2
"torturous","s",1
"topologically","r",1
"garden pepper cress","n",1
"supply ship","n",1
"ebro river","n",1
"gas turbine","n",1
"green smut","n",1
"prehistory","n",1
"genus brachystegia","n",1
