"A_LEMMA","A_SYNSETID","A_TAGCOUNT","A_LEXDOMAINNAME","A_LEXDOMAINID","A_POS","A_SHOWALL","A_DEFINITION","A_SAMPLESET","A_HIDEALL","A_SENSENUM","B_LINKID","D_LINK","C_SYNSETID","C_LEXDOMAINNAME","C_LEXDOMAINID","C_POS","C_SHOWALL","C_DEFINITION","C_SAMPLESET","C_HIDEALL"
"atomic number 64",114574702,,"noun.substance",27,"n","atomic number 64#1(atomic_number_64%1:27:00::),gadolinium#1(gadolinium%1:27:00::),Gd#2(gd%1:27:00::)","a ductile silvery-white ductile ferromagnetic trivalent metallic element of the rare earth group","","atomic number 64,gadolinium,Gd",1,15,"substance holonym",114939272,"noun.substance",27,"n","samarskite#1(samarskite%1:27:00::)","a complex black mineral occurring in pegmatites","","samarskite"
"atomic number 89",114564335,,"noun.substance",27,"n","Ac#1(ac%1:27:00::),atomic number 89#1(atomic_number_89%1:27:00::),actinium#1(actinium%1:27:00::)","a radioactive element of the actinide series; found in uranium ores","","Ac,atomic number 89,actinium",1,15,"substance holonym",115009938,"noun.substance",27,"n","uranium ore#1(uranium_ore%1:27:00::)","any ore from which uranium can be extracted","","uranium ore"
"aniseed",107757276,,"noun.food",13,"n","anise seed#1(anise_seed%1:13:00::),aniseed#1(aniseed%1:13:00::),anise#2(anise%1:13:00::)","liquorice-flavored seeds, used medicinally and in cooking and liquors","","anise seed,aniseed,anise",1,15,"substance holonym",107567301,"noun.food",13,"n","anise cookie#1(anise_cookie%1:13:00::)","cookie made without butter and flavored with anise seed","","anise cookie"
"aniseed",107757276,,"noun.food",13,"n","anise seed#1(anise_seed%1:13:00::),aniseed#1(aniseed%1:13:00::),anise#2(anise%1:13:00::)","liquorice-flavored seeds, used medicinally and in cooking and liquors","","anise seed,aniseed,anise",1,15,"substance holonym",107839306,"noun.food",13,"n","absinth#1(absinth%1:13:00::),absinthe#2(absinthe%1:13:00::)","strong green liqueur flavored with wormwood and anise","","absinth,absinthe"
"t",114998251,,"noun.substance",27,"n","thymine#1(thymine%1:27:00::),T#1(t%1:27:01::)","a base found in DNA (but not in RNA) and derived from pyrimidine; pairs with adenine","","thymine,T",1,15,"substance holonym",114760578,"noun.substance",27,"n","desoxyribonucleic acid#1(desoxyribonucleic_acid%1:27:00::),DNA#1(dna%1:27:00::),deoxyribonucleic acid#1(deoxyribonucleic_acid%1:27:00::)","(biochemistry) a long linear polymer found in the nucleus of a cell and formed from nucleotides and shaped like a double helix; associated with the transmission of genetic information","DNA is the king of molecules","desoxyribonucleic acid,DNA,deoxyribonucleic acid"
"cosmic dust",111376218,,"noun.phenomenon",19,"n","cosmic dust#1(cosmic_dust%1:19:00::)","clouds of particles or gases occurring throughout interstellar space","","cosmic dust",1,15,"substance holonym",108202772,"noun.group",14,"n","extragalactic nebula#1(extragalactic_nebula%1:14:00::),galaxy#3(galaxy%1:14:00::)","(astronomy) a collection of star systems; any of the billions of systems each having many stars and nebulae and dust","`extragalactic nebula' is a former name for `galaxy'","extragalactic nebula,galaxy"
"cu",114572383,,"noun.substance",27,"n","atomic number 29#1(atomic_number_29%1:27:00::),copper#1(copper%1:27:00::),Cu#1(cu%1:27:00::)","a ductile malleable reddish-brown corrosion-resistant diamagnetic metallic element; occurs in various minerals but is the only metal that occurs abundantly in large masses; used as an electrical and thermal conductor","","atomic number 29,copper,Cu",1,15,"substance holonym",114605886,"noun.substance",27,"n","peacock ore#1(peacock_ore%1:27:00::),bornite#1(bornite%1:27:00::)","a mineral consisting of sulfides of copper and iron that is found in copper deposits","","peacock ore,bornite"
"cu",114572383,,"noun.substance",27,"n","atomic number 29#1(atomic_number_29%1:27:00::),copper#1(copper%1:27:00::),Cu#1(cu%1:27:00::)","a ductile malleable reddish-brown corrosion-resistant diamagnetic metallic element; occurs in various minerals but is the only metal that occurs abundantly in large masses; used as an electrical and thermal conductor","","atomic number 29,copper,Cu",1,15,"substance holonym",114617286,"noun.substance",27,"n","malachite#1(malachite%1:27:00::)","a green or blue mineral used as an ore of copper and for making ornamental objects","","malachite"
"cotton",114799348,6,"noun.substance",27,"n","cotton#1(cotton%1:27:01::),cotton wool#1(cotton_wool%1:27:01::),cotton fiber#1(cotton_fiber%1:27:00::)","soft silky fibers from cotton plants in their raw state","","cotton,cotton wool,cotton fiber",1,15,"substance holonym",103824721,"noun.artifact",6,"n","padding#1(padding%1:06:00::),cushioning#1(cushioning%1:06:00::)","artifact consisting of soft or resilient material used to fill or give shape or protect or add comfort","","padding,cushioning"
"isothiocyanate",114959388,,"noun.substance",27,"n","isothiocyanate#1(isothiocyanate%1:27:00::)","a family of compounds derived from horseradish and radishes and onions and mustards; source of the hotness of those plants and preparations","","isothiocyanate",1,15,"substance holonym",111829945,"noun.plant",20,"n","Raphanus sativus#1(raphanus_sativus%1:20:00::),radish#4(radish%1:20:00::)","Eurasian plant widely cultivated for its edible pungent root usually eaten raw","","Raphanus sativus,radish"
"arsenic",114565810,,"noun.substance",27,"n","As#1(as%1:27:00::),atomic number 33#1(atomic_number_33%1:27:00::),arsenic#2(arsenic%1:27:00::)","a very poisonous metallic element that has three allotropic forms; arsenic and arsenic compounds are used as herbicides and insecticides and various alloys; found in arsenopyrite and orpiment and realgar","","As,atomic number 33,arsenic",2,15,"substance holonym",114835728,"noun.substance",27,"n","herbicide#1(herbicide%1:27:00::),weedkiller#1(weedkiller%1:27:00::),weed killer#1(weed_killer%1:27:00::)","a chemical agent that destroys plants or inhibits their growth","","herbicide,weedkiller,weed killer"
"spearmint oil",107743285,,"noun.food",13,"n","spearmint oil#1(spearmint_oil%1:13:00::)","an aromatic oil obtained from the spearmint plant","","spearmint oil",1,15,"substance holonym",112791767,"noun.plant",20,"n","spearmint#1(spearmint%1:20:00::),Mentha spicata#1(mentha_spicata%1:20:00::)","common garden herb having clusters of small purplish flowers and yielding an oil used as a flavoring","","spearmint,Mentha spicata"
"calamine",114615031,,"noun.substance",27,"n","hemimorphite#1(hemimorphite%1:27:00::),calamine#1(calamine%1:27:00::)","a white mineral; a common ore of zinc","","hemimorphite,calamine",1,15,"substance holonym",102932192,"noun.artifact",6,"n","calamine lotion#1(calamine_lotion%1:06:00::)","a lotion consisting of a liquid preparation containing calamine; used to treat itching or mild skin irritations","","calamine lotion"
"semiconducting material",114751462,,"noun.substance",27,"n","semiconductor#1(semiconductor%1:27:00::),semiconducting material#1(semiconducting_material%1:27:00::)","a substance as germanium or silicon whose electrical conductivity is intermediate between that of a metal and an insulator; its conductivity increases with temperature and in the presence of impurities","","semiconductor,semiconducting material",1,15,"substance holonym",104114756,"noun.artifact",6,"n","semiconductor device#1(semiconductor_device%1:06:00::),semiconductor unit#1(semiconductor_unit%1:06:00::),semiconductor#2(semiconductor%1:06:00::)","a conductor made with semiconducting material","","semiconductor device,semiconductor unit,semiconductor"
"atomic number 68",114573649,,"noun.substance",27,"n","atomic number 68#1(atomic_number_68%1:27:00::),erbium#1(erbium%1:27:00::),Er#1(er%1:27:00::)","a trivalent metallic element of the rare earth group; occurs with yttrium","","atomic number 68,erbium,Er",1,15,"substance holonym",114611637,"noun.substance",27,"n","fergusonite#1(fergusonite%1:27:00::)","a dark mineral consisting of oxides of yttrium and erbium and tantalum and other minerals","","fergusonite"
"protoheme",114951278,,"noun.substance",27,"n","haem#1(haem%1:27:00::),haemitin#1(haemitin%1:27:00::),protoheme#1(protoheme%1:27:00::),heme#1(heme%1:27:00::),hematin#1(hematin%1:27:00::)","a complex red organic pigment containing iron and other atoms to which oxygen binds","","haem,haemitin,protoheme,heme,hematin",1,15,"substance holonym",114951852,"noun.substance",27,"n","cytochrome#1(cytochrome%1:27:00::)","(biochemistry) a class of hemoprotein whose principal biological function is electron transfer (especially in cellular respiration)","","cytochrome"
"holmium",114576883,,"noun.substance",27,"n","atomic number 67#1(atomic_number_67%1:27:00::),holmium#1(holmium%1:27:00::),Ho#1(ho%1:27:00::)","a trivalent metallic element of the rare earth group; occurs together with yttrium; forms highly magnetic compounds","","atomic number 67,holmium,Ho",1,15,"substance holonym",114612194,"noun.substance",27,"n","ytterbite#1(ytterbite%1:27:00::),gadolinite#1(gadolinite%1:27:00::)","a mineral that is a source of rare earths; consists of silicates of iron and beryllium and cerium and yttrium and erbium","","ytterbite,gadolinite"
"zirconium",114598943,,"noun.substance",27,"n","atomic number 40#1(atomic_number_40%1:27:00::),Zr#1(zr%1:27:00::),zirconium#1(zirconium%1:27:00::)","a lustrous grey strong metallic element resembling titanium; it is used in nuclear reactors as a neutron absorber; it occurs in baddeleyite but is obtained chiefly from zircon","","atomic number 40,Zr,zirconium",1,15,"substance holonym",115034259,"noun.substance",27,"n","zirconium silicate#1(zirconium_silicate%1:27:00::),zircon#1(zircon%1:27:00::)","a common mineral occurring in small crystals; chief source of zirconium; used as a refractory when opaque and as a gem when transparent","","zirconium silicate,zircon"
"soda water",107867443,,"noun.food",13,"n","carbonated water#1(carbonated_water%1:13:00::),club soda#1(club_soda%1:13:00::),sparkling water#1(sparkling_water%1:13:00::),soda water#1(soda_water%1:13:00::),seltzer#2(seltzer%1:13:02::)","effervescent beverage artificially charged with carbon dioxide","","carbonated water,club soda,sparkling water,soda water,seltzer",1,15,"substance holonym",107858407,"noun.food",13,"n","soda pop#1(soda_pop%1:13:00::),soda#2(soda%1:13:00::),tonic#2(tonic%1:13:01::),soda water#2(soda_water%1:13:02::),pop#2(pop%1:13:00::)","a sweet drink containing carbonated water and flavoring","in New England they call sodas tonics","soda pop,soda,tonic,soda water,pop"
"copy",106612097,,"noun.communication",10,"n","copy#4(copy%1:10:02::)","material suitable for a journalistic account","catastrophes make good copy","copy",4,15,"substance holonym",106201162,"noun.communication",10,"n","news media#1(news_media%1:10:00::),journalism#1(journalism%1:10:00::)","newspapers and magazines collectively","","news media,journalism"
"coffee bean",107860246,,"noun.food",13,"n","coffee bean#1(coffee_bean%1:13:00::),coffee berry#1(coffee_berry%1:13:00::),coffee#3(coffee%1:13:01::)","a seed of the coffee tree; ground to make coffee","","coffee bean,coffee berry,coffee",1,15,"substance holonym",107860414,"noun.food",13,"n","coffee#1(coffee%1:13:00::),java#2(java%1:13:00::)","a beverage consisting of an infusion of ground coffee beans","he ordered a cup of coffee","coffee,java"
"erbium",114573649,,"noun.substance",27,"n","atomic number 68#1(atomic_number_68%1:27:00::),erbium#1(erbium%1:27:00::),Er#1(er%1:27:00::)","a trivalent metallic element of the rare earth group; occurs with yttrium","","atomic number 68,erbium,Er",1,15,"substance holonym",114611637,"noun.substance",27,"n","fergusonite#1(fergusonite%1:27:00::)","a dark mineral consisting of oxides of yttrium and erbium and tantalum and other minerals","","fergusonite"
"hemoglobin",114950521,4,"noun.substance",27,"n","haemoglobin#1(haemoglobin%1:27:00::),hemoglobin#1(hemoglobin%1:27:00::),Hb#1(hb%1:27:00::)","a hemoprotein composed of globin and heme that gives red blood cells their characteristic color; function primarily to transport oxygen from the lungs to the body tissues","fish have simpler hemoglobin than mammals","haemoglobin,hemoglobin,Hb",1,15,"substance holonym",105385776,"noun.body",8,"n","erythrocyte#1(erythrocyte%1:08:00::),RBC#1(rbc%1:08:00::),red blood cell#1(red_blood_cell%1:08:00::)","a mature blood cell that contains hemoglobin to carry oxygen to the bodily tissues; a biconcave disc that has no nucleus","","erythrocyte,RBC,red blood cell"
"vanillin",112022255,,"noun.plant",20,"n","vanillin#1(vanillin%1:20:00::)","a crystalline compound found in vanilla beans and some balsam resins; used in perfumes and flavorings","","vanillin",1,15,"substance holonym",107759265,"noun.food",13,"n","vanilla bean#1(vanilla_bean%1:13:00::)","long bean-like fruit; seeds are used as flavoring","","vanilla bean"
"lad's love",111864652,,"noun.plant",20,"n","absinthe#1(absinthe%1:20:00::),Artemisia absinthium#1(artemisia_absinthium%1:20:00::),common wormwood#1(common_wormwood%1:20:00::),lad's love#1(lad's_love%1:20:00::),old man#4(old_man%1:20:00::)","aromatic herb of temperate Eurasia and North Africa having a bitter taste used in making the liqueur absinthe","","absinthe,Artemisia absinthium,common wormwood,lad's love,old man",1,15,"substance holonym",107839306,"noun.food",13,"n","absinth#1(absinth%1:13:00::),absinthe#2(absinthe%1:13:00::)","strong green liqueur flavored with wormwood and anise","","absinth,absinthe"
"iron",114579078,15,"noun.substance",27,"n","atomic number 26#1(atomic_number_26%1:27:00::),iron#1(iron%1:27:00::),Fe#1(fe%1:27:00::)","a heavy ductile magnetic metallic element; is silver-white in pure form but readily rusts; used in construction and tools and armament; plays a role in the transport of oxygen by the blood","","atomic number 26,iron,Fe",1,15,"substance holonym",114733215,"noun.substance",27,"n","steel#1(steel%1:27:00::)","an alloy of iron with small amounts of carbon; widely used in construction; mechanical properties can be varied over a wide range","","steel"
"guaiacum",112657862,,"noun.plant",20,"n","guaiac#1(guaiac%1:20:00::),lignum vitae#1(lignum_vitae%1:20:02::),guaiacum#2(guaiacum%1:20:02::)","hard greenish-brown wood of the lignum vitae tree and other trees of the genus Guaiacum","","guaiac,lignum vitae,guaiacum",2,15,"substance holonym",112657551,"noun.plant",20,"n","Guaiacum officinale#1(guaiacum_officinale%1:20:00::),lignum vitae#2(lignum_vitae%1:20:00::)","small evergreen tree of Caribbean and southern Central America to northern South America; a source of lignum vitae wood, hardest of commercial timbers, and a medicinal resin","","Guaiacum officinale,lignum vitae"
"naphthalene",114885510,,"noun.substance",27,"n","naphthalene#1(naphthalene%1:27:00::)","a white crystalline strong-smelling hydrocarbon made from coal tar or petroleum and used in organic synthesis and as a fumigant in mothballs","","naphthalene",1,15,"substance holonym",114840502,"noun.substance",27,"n","coal tar#1(coal_tar%1:27:00::)","a tar formed from distillation of bituminous coal; coal tar can be further distilled to give various aromatic compounds","","coal tar"
"v",114597682,,"noun.substance",27,"n","atomic number 23#1(atomic_number_23%1:27:00::),vanadium#1(vanadium%1:27:00::),V#2(v%1:27:00::)","a soft silvery white toxic metallic element used in steel alloys; it occurs in several complex minerals including carnotite and vanadinite","","atomic number 23,vanadium,V",2,15,"substance holonym",114606321,"noun.substance",27,"n","carnotite#1(carnotite%1:27:00::)","a yellow radioactive mineral; an ore of uranium and radium and vanadium","","carnotite"
"ba",114566659,,"noun.substance",27,"n","atomic number 56#1(atomic_number_56%1:27:00::),barium#1(barium%1:27:00::),Ba#1(ba%1:27:00::)","a soft silvery metallic element of the alkali earth group; found in barite","","atomic number 56,barium,Ba",1,15,"substance holonym",114614855,"noun.substance",27,"n","barite#1(barite%1:27:00::),heavy spar#1(heavy_spar%1:27:00::),barytes#1(barytes%1:27:00::),barium sulphate#2(barium_sulphate%1:27:01::)","a white or colorless mineral (BaSO4); the main source of barium","","barite,heavy spar,barytes,barium sulphate"
"silica",114967298,,"noun.substance",27,"n","silica#1(silica%1:27:00::),silicon oxide#1(silicon_oxide%1:27:00::),silicon dioxide#1(silicon_dioxide%1:27:00::)","a white or colorless vitreous insoluble solid (SiO2); various forms occur widely in the earth's crust as quartz or cristobalite or tridymite or lechatelierite","","silica,silicon oxide,silicon dioxide",1,15,"substance holonym",114808801,"noun.substance",27,"n","quartz#1(quartz%1:27:01::),lechatelierite#1(lechatelierite%1:27:00::),vitreous silica#1(vitreous_silica%1:27:00::),quartz glass#1(quartz_glass%1:27:00::),crystal#4(crystal%1:27:01::)","colorless glass made of almost pure silica","","quartz,lechatelierite,vitreous silica,quartz glass,crystal"
"carnauba wax",112524065,,"noun.plant",20,"n","carnauba wax#1(carnauba_wax%1:20:00::),carnauba#1(carnauba%1:20:02::)","hard yellowish to brownish wax from leaves of the carnauba palm used especially in floor waxes and polishes","","carnauba wax,carnauba",1,15,"substance holonym",112523801,"noun.plant",20,"n","Copernicia cerifera#1(copernicia_cerifera%1:20:00::),Copernicia prunifera#1(copernicia_prunifera%1:20:00::),carnauba palm#1(carnauba_palm%1:20:00::),wax palm#2(wax_palm%1:20:02::),carnauba#2(carnauba%1:20:00::)","Brazilian fan palm having an edible root; source of a useful leaf fiber and a brittle yellowish wax","","Copernicia cerifera,Copernicia prunifera,carnauba palm,wax palm,carnauba"
"black locust",112503717,,"noun.plant",20,"n","black locust#1(black_locust%1:20:02::)","strong stiff wood of a black-locust tree; very resistant to decay","","black locust",1,15,"substance holonym",112503397,"noun.plant",20,"n","Robinia pseudoacacia#1(robinia_pseudoacacia%1:20:00::),yellow locust#1(yellow_locust%1:20:00::),black locust#2(black_locust%1:20:00::)","large thorny tree of eastern and central United States having pinnately compound leaves and drooping racemes of white flowers; widely naturalized in many varieties in temperate regions","","Robinia pseudoacacia,yellow locust,black locust"
"ladanum",112310330,,"noun.plant",20,"n","ladanum#1(ladanum%1:20:00::),labdanum#2(labdanum%1:20:00::)","a soft blackish-brown resinous exudate from various rockroses used in perfumes especially as a fixative","","ladanum,labdanum",1,15,"substance holonym",112310085,"noun.plant",20,"n","common gum cistus#1(common_gum_cistus%1:20:00::),Cistus ladanum#1(cistus_ladanum%1:20:00::),Cistus ladanifer#1(cistus_ladanifer%1:20:00::)","shrub having white flowers and viscid stems and leaves yielding a fragrant oleoresin used in perfumes especially as a fixative","","common gum cistus,Cistus ladanum,Cistus ladanifer"
"calcium",114569309,3,"noun.substance",27,"n","atomic number 20#1(atomic_number_20%1:27:00::),Ca#1(ca%1:27:00::),calcium#1(calcium%1:27:00::)","a white metallic element that burns with a brilliant light; the fifth most abundant element in the earth's crust; an important component of most plants and animals","","atomic number 20,Ca,calcium",1,15,"substance holonym",114614403,"noun.substance",27,"n","gypsum#1(gypsum%1:27:00::)","a common white or colorless mineral (hydrated calcium sulphate) used to make cements and plasters (especially plaster of Paris)","","gypsum"
"artemisia absinthium",111864652,,"noun.plant",20,"n","absinthe#1(absinthe%1:20:00::),Artemisia absinthium#1(artemisia_absinthium%1:20:00::),common wormwood#1(common_wormwood%1:20:00::),lad's love#1(lad's_love%1:20:00::),old man#4(old_man%1:20:00::)","aromatic herb of temperate Eurasia and North Africa having a bitter taste used in making the liqueur absinthe","","absinthe,Artemisia absinthium,common wormwood,lad's love,old man",1,15,"substance holonym",107839306,"noun.food",13,"n","absinth#1(absinth%1:13:00::),absinthe#2(absinthe%1:13:00::)","strong green liqueur flavored with wormwood and anise","","absinth,absinthe"
"lead",114580128,6,"noun.substance",27,"n","atomic number 82#1(atomic_number_82%1:27:00::),Pb#1(pb%1:27:00::),lead#2(lead%1:27:00::)","a soft heavy toxic malleable metallic element; bluish white when freshly cut but tarnishes readily to dull grey","the children were playing with lead soldiers","atomic number 82,Pb,lead",2,15,"substance holonym",114612535,"noun.substance",27,"n","galena#1(galena%1:27:00::)","soft blue-grey mineral; lead sulfide; a major source of lead","","galena"
"tantalum",114593328,,"noun.substance",27,"n","atomic number 73#1(atomic_number_73%1:27:00::),Ta#1(ta%1:27:00::),tantalum#1(tantalum%1:27:00::)","a hard grey lustrous metallic element that is highly resistant to corrosion; occurs in niobite and fergusonite and tantalite","","atomic number 73,Ta,tantalum",1,15,"substance holonym",114611637,"noun.substance",27,"n","fergusonite#1(fergusonite%1:27:00::)","a dark mineral consisting of oxides of yttrium and erbium and tantalum and other minerals","","fergusonite"
"nitroglycerin",114815612,,"noun.substance",27,"n","glyceryl trinitrate#1(glyceryl_trinitrate%1:27:00::),trinitroglycerin#1(trinitroglycerin%1:27:00::),nitroglycerine#1(nitroglycerine%1:27:00::),nitroglycerin#1(nitroglycerin%1:27:00::)","a heavy yellow poisonous oily explosive liquid obtained by nitrating glycerol; used in making explosives and medically as a vasodilator","","glyceryl trinitrate,trinitroglycerin,nitroglycerine,nitroglycerin",1,15,"substance holonym",103096383,"noun.artifact",6,"n","cordite#1(cordite%1:06:00::)","explosive powder (nitroglycerin and guncotton and petrolatum) dissolved in acetone and dried and extruded in brown cords","","cordite"
"ta",114593328,,"noun.substance",27,"n","atomic number 73#1(atomic_number_73%1:27:00::),Ta#1(ta%1:27:00::),tantalum#1(tantalum%1:27:00::)","a hard grey lustrous metallic element that is highly resistant to corrosion; occurs in niobite and fergusonite and tantalite","","atomic number 73,Ta,tantalum",1,15,"substance holonym",114993045,"noun.substance",27,"n","tantalite#1(tantalite%1:27:00::)","a mineral consisting of tantalum oxide of iron and manganese that occurs with niobite or in coarse granite; an ore of tantalum","","tantalite"
"guncotton",114725920,,"noun.substance",27,"n","cellulose nitrate#1(cellulose_nitrate%1:27:00::),nitrocotton#1(nitrocotton%1:27:00::),nitrocellulose#1(nitrocellulose%1:27:00::),guncotton#1(guncotton%1:27:00::)","a nitric acid ester; used in lacquers and explosives","","cellulose nitrate,nitrocotton,nitrocellulose,guncotton",1,15,"substance holonym",114892011,"noun.substance",27,"n","celluloid#1(celluloid%1:27:00::)","highly flammable substance made from cellulose nitrate and camphor; used in e.g. motion-picture and X-ray film; its use has decreased with the development of nonflammable thermoplastics","","celluloid"
"glucinium",114567956,,"noun.substance",27,"n","atomic number 4#1(atomic_number_4%1:27:00::),glucinium#1(glucinium%1:27:00::),beryllium#1(beryllium%1:27:00::),Be#1(be%1:27:00::)","a light strong brittle grey toxic bivalent metallic element","","atomic number 4,glucinium,beryllium,Be",1,15,"substance holonym",114605183,"noun.substance",27,"n","beryl#1(beryl%1:27:00::)","the chief source of beryllium; colored transparent varieties are valued as gems","","beryl"
"tin",104376316,,"noun.artifact",6,"n","tin#2(tin%1:06:03::)","a vessel (box, can, pan, etc.) made of tinplate and used mainly in baking","","tin",2,15,"substance holonym",104377259,"noun.artifact",6,"n","tinplate#1(tinplate%1:06:00::),tin plate#1(tin_plate%1:06:00::)","a thin sheet of metal (iron or steel) coated with tin to prevent rusting; used especially for cans, pots, and tins","","tinplate,tin plate"
"hb",114950521,,"noun.substance",27,"n","haemoglobin#1(haemoglobin%1:27:00::),hemoglobin#1(hemoglobin%1:27:00::),Hb#1(hb%1:27:00::)","a hemoprotein composed of globin and heme that gives red blood cells their characteristic color; function primarily to transport oxygen from the lungs to the body tissues","fish have simpler hemoglobin than mammals","haemoglobin,hemoglobin,Hb",1,15,"substance holonym",105385776,"noun.body",8,"n","erythrocyte#1(erythrocyte%1:08:00::),RBC#1(rbc%1:08:00::),red blood cell#1(red_blood_cell%1:08:00::)","a mature blood cell that contains hemoglobin to carry oxygen to the bodily tissues; a biconcave disc that has no nucleus","","erythrocyte,RBC,red blood cell"
"magnesium",114580910,,"noun.substance",27,"n","atomic number 12#1(atomic_number_12%1:27:00::),magnesium#1(magnesium%1:27:00::),Mg#2(mg%1:27:00::)","a light silver-white ductile bivalent metallic element; in pure form it burns with brilliant white flame; occurs naturally only in combination (as in magnesite and dolomite and carnallite and spinel and olivine)","","atomic number 12,magnesium,Mg",1,15,"substance holonym",114610372,"noun.substance",27,"n","bitter spar#1(bitter_spar%1:27:00::),dolomite#2(dolomite%1:27:01::)","a light colored mineral consisting of calcium magnesium carbonate; a source of magnesium; used as a ceramic and as fertilizer","","bitter spar,dolomite"
"magnesium",114580910,,"noun.substance",27,"n","atomic number 12#1(atomic_number_12%1:27:00::),magnesium#1(magnesium%1:27:00::),Mg#2(mg%1:27:00::)","a light silver-white ductile bivalent metallic element; in pure form it burns with brilliant white flame; occurs naturally only in combination (as in magnesite and dolomite and carnallite and spinel and olivine)","","atomic number 12,magnesium,Mg",1,15,"substance holonym",114606057,"noun.substance",27,"n","carnallite#1(carnallite%1:27:00::)","a white or reddish mineral consisting of hydrous chlorides of potassium and magnesium; used as a fertilizer and as a source of potassium and magnesium","","carnallite"
"juniper berries",107757753,,"noun.food",13,"n","juniper berries#1(juniper_berries%1:13:00::)","berrylike cone of a common juniper; used in making gin","","juniper berries",1,15,"substance holonym",107835290,"noun.food",13,"n","gin#1(gin%1:13:00::)","strong liquor flavored with juniper berries","","gin"
"praseodymium",114587874,,"noun.substance",27,"n","atomic number 59#1(atomic_number_59%1:27:00::),praseodymium#1(praseodymium%1:27:00::),Pr#1(pr%1:27:00::)","a soft yellowish-white trivalent metallic element of the rare earth group; can be recovered from bastnasite or monazite by an ion-exchange process","","atomic number 59,praseodymium,Pr",1,15,"substance holonym",114619267,"noun.substance",27,"n","monazite#1(monazite%1:27:00::)","a reddish-brown mineral containing rare earth metals; an important source of thorium and cerium","","monazite"
"amphibole",114602429,,"noun.substance",27,"n","amphibole#1(amphibole%1:27:00::)","a mineral or mineral variety belonging to the amphibole group","","amphibole",1,15,"substance holonym",114603031,"noun.substance",27,"n","amphibolite#1(amphibolite%1:27:00::)","a metamorphic rock composed chiefly of amphibole and plagioclase","","amphibolite"
"fermentation alcohol",114645593,,"noun.substance",27,"n","fermentation alcohol#1(fermentation_alcohol%1:27:00::),grain alcohol#1(grain_alcohol%1:27:00::),ethyl alcohol#1(ethyl_alcohol%1:27:00::),ethanol#1(ethanol%1:27:00::)","the intoxicating agent in fermented and distilled liquors; used pure or denatured as a solvent or in medicines and colognes and cleaning solutions and rocket fuel; proposed as a renewable clean-burning additive to gasoline","","fermentation alcohol,grain alcohol,ethyl alcohol,ethanol",1,15,"substance holonym",107833016,"noun.food",13,"n","neutral spirits#1(neutral_spirits%1:13:00::),ethyl alcohol#2(ethyl_alcohol%1:13:00::)","nonflavored alcohol of 95 percent or 190 proof used for blending with straight whiskies and in making gin and liqueurs","","neutral spirits,ethyl alcohol"
"br",114568790,,"noun.substance",27,"n","atomic number 35#1(atomic_number_35%1:27:00::),bromine#1(bromine%1:27:00::),Br#1(br%1:27:00::)","a nonmetallic heavy volatile corrosive dark brown liquid element belonging to the halogens; found in sea water","","atomic number 35,bromine,Br",1,15,"substance holonym",114935470,"noun.substance",27,"n","brine#1(brine%1:27:00::),seawater#1(seawater%1:27:00::),saltwater#1(saltwater%1:27:00::)","water containing salts","the water in the ocean is all saltwater","brine,seawater,saltwater"
"yb",114598144,,"noun.substance",27,"n","atomic number 70#1(atomic_number_70%1:27:00::),Yb#1(yb%1:27:00::),ytterbium#1(ytterbium%1:27:00::)","a soft silvery metallic element; a rare earth of the lanthanide series; it occurs in gadolinite and monazite and xenotime","","atomic number 70,Yb,ytterbium",1,15,"substance holonym",114612194,"noun.substance",27,"n","ytterbite#1(ytterbite%1:27:00::),gadolinite#1(gadolinite%1:27:00::)","a mineral that is a source of rare earths; consists of silicates of iron and beryllium and cerium and yttrium and erbium","","ytterbite,gadolinite"
"actinium",114564335,,"noun.substance",27,"n","Ac#1(ac%1:27:00::),atomic number 89#1(atomic_number_89%1:27:00::),actinium#1(actinium%1:27:00::)","a radioactive element of the actinide series; found in uranium ores","","Ac,atomic number 89,actinium",1,15,"substance holonym",115009938,"noun.substance",27,"n","uranium ore#1(uranium_ore%1:27:00::)","any ore from which uranium can be extracted","","uranium ore"
"atomic number 29",114572383,,"noun.substance",27,"n","atomic number 29#1(atomic_number_29%1:27:00::),copper#1(copper%1:27:00::),Cu#1(cu%1:27:00::)","a ductile malleable reddish-brown corrosion-resistant diamagnetic metallic element; occurs in various minerals but is the only metal that occurs abundantly in large masses; used as an electrical and thermal conductor","","atomic number 29,copper,Cu",1,15,"substance holonym",114605886,"noun.substance",27,"n","peacock ore#1(peacock_ore%1:27:00::),bornite#1(bornite%1:27:00::)","a mineral consisting of sulfides of copper and iron that is found in copper deposits","","peacock ore,bornite"
"whisky",107837179,19,"noun.food",13,"n","whisky#1(whisky%1:13:00::),whiskey#1(whiskey%1:13:00::)","a liquor made from fermented mash of grain","","whisky,whiskey",1,15,"substance holonym",107847332,"noun.food",13,"n","old fashioned#1(old_fashioned%1:13:00::)","a cocktail made of whiskey and bitters and sugar with fruit slices","","old fashioned"
