"A_LEMMA","A_SYNSETID","A_TAGCOUNT","A_LEXDOMAINNAME","A_LEXDOMAINID","A_POS","A_SHOWALL","A_DEFINITION","A_SAMPLESET","A_HIDEALL","A_SENSENUM","B_LINKID","D_LINK","C_SYNSETID","C_LEXDOMAINNAME","C_LEXDOMAINID","C_POS","C_SHOWALL","C_DEFINITION","C_SAMPLESET","C_HIDEALL"
"atomic number 19",114587469,,"noun.substance",27,"n","atomic number 19#1(atomic_number_19%1:27:00::),potassium#1(potassium%1:27:00::),K#2(k%1:27:00::)","a light soft silver-white metallic element of the alkali metal group; oxidizes rapidly in air and reacts violently with water; is abundant in nature in combined forms occurring in sea water and in carnallite and kainite and sylvite","","atomic number 19,potassium,K",1,15,"substance holonym",114616507,"noun.substance",27,"n","langbeinite#1(langbeinite%1:27:00::)","a mineral consisting of potassium magnesium double sulphate; used as a fertilizer","","langbeinite"
"silver",114591616,2,"noun.substance",27,"n","Ag#1(ag%1:27:00::),silver#1(silver%1:27:00::),atomic number 47#1(atomic_number_47%1:27:00::)","a soft white precious univalent metallic element having the highest electrical and thermal conductivity of any metal; occurs in argentite and in free form; used in coins and jewelry and tableware and photography","","Ag,silver,atomic number 47",1,15,"substance holonym",114983121,"noun.substance",27,"n","sterling silver#1(sterling_silver%1:27:00::)","a silver alloy with no more than 7.5% copper","","sterling silver"
"tulipwood",112123707,,"noun.plant",20,"n","tulipwood#1(tulipwood%1:20:02::)","the variegated or showily striped ornamental wood of various tulipwood trees","","tulipwood",1,15,"substance holonym",112123512,"noun.plant",20,"n","tulipwood tree#1(tulipwood_tree%1:20:00::)","any of various trees yielding variously colored woods similar to true tulipwood","","tulipwood tree"
"gristle",105219720,,"noun.body",8,"n","gristle#1(gristle%1:08:00::),cartilage#1(cartilage%1:08:00::)","tough elastic tissue; mostly converted to bone in adults","","gristle,cartilage",1,15,"substance holonym",105462924,"noun.body",8,"n","cartilaginous structure#1(cartilaginous_structure%1:08:00::)","body structure given shape by cartilage","","cartilaginous structure"
"acetylene",114537777,,"noun.substance",27,"n","acetylene#1(acetylene%1:27:00::),ethyne#1(ethyne%1:27:00::),alkyne#1(alkyne%1:27:00::)","a colorless flammable gas used chiefly in welding and in organic synthesis","","acetylene,ethyne,alkyne",1,15,"substance holonym",114899078,"noun.substance",27,"n","oxyacetylene#1(oxyacetylene%1:27:00::)","a mixture of oxygen and acetylene; used to create high temperatures for cutting or welding metals","","oxyacetylene"
"atomic number 1",114577095,,"noun.substance",27,"n","atomic number 1#1(atomic_number_1%1:27:00::),hydrogen#1(hydrogen%1:27:00::),H#1(h%1:27:00::)","a nonmetallic univalent element that is normally a colorless and odorless highly flammable diatomic gas; the simplest and lightest and most abundant element in the universe","","atomic number 1,hydrogen,H",1,15,"substance holonym",114775518,"noun.substance",27,"n","water#1(water%1:27:00::),H2O#1(h2o%1:27:00::)","binary compound that occurs at room temperature as a clear colorless odorless tasteless liquid; freezes into ice below 0 degrees centigrade and boils above 100 degrees centigrade; widely used as a solvent","","water,H2O"
"neodymium",114582543,,"noun.substance",27,"n","atomic number 60#1(atomic_number_60%1:27:00::),neodymium#1(neodymium%1:27:00::),Nd#1(nd%1:27:00::)","a yellow trivalent metallic element of the rare earth group; occurs in monazite and bastnasite in association with cerium and lanthanum and praseodymium","","atomic number 60,neodymium,Nd",1,15,"substance holonym",114619267,"noun.substance",27,"n","monazite#1(monazite%1:27:00::)","a reddish-brown mineral containing rare earth metals; an important source of thorium and cerium","","monazite"
"birch oil",114879611,,"noun.substance",27,"n","birch oil#1(birch_oil%1:27:00::),sweet-birch oil#1(sweet-birch_oil%1:27:00::),methyl salicylate#1(methyl_salicylate%1:27:00::)","a liquid ester with a strong odor of wintergreen; applied externally for minor muscle and joint pain","","birch oil,sweet-birch oil,methyl salicylate",1,15,"substance holonym",107743536,"noun.food",13,"n","wintergreen oil#1(wintergreen_oil%1:13:00::),oil of wintergreen#1(oil_of_wintergreen%1:13:00::)","oil or flavoring obtained from the creeping wintergreen or teaberry plant","","wintergreen oil,oil of wintergreen"
"calcium carbonate",114864607,,"noun.substance",27,"n","calcium carbonate#1(calcium_carbonate%1:27:00::)","a salt found in nature as chalk or calcite or aragonite or limestone","","calcium carbonate",1,15,"substance holonym",114737363,"noun.substance",27,"n","chalk#1(chalk%1:27:00::)","a soft whitish calcite","","chalk"
"copper",114572383,4,"noun.substance",27,"n","atomic number 29#1(atomic_number_29%1:27:00::),copper#1(copper%1:27:00::),Cu#1(cu%1:27:00::)","a ductile malleable reddish-brown corrosion-resistant diamagnetic metallic element; occurs in various minerals but is the only metal that occurs abundantly in large masses; used as an electrical and thermal conductor","","atomic number 29,copper,Cu",1,15,"substance holonym",114652817,"noun.substance",27,"n","brass#1(brass%1:27:00::)","an alloy of copper and zinc","","brass"
"water ice",114843769,,"noun.substance",27,"n","water ice#1(water_ice%1:27:00::),ice#1(ice%1:27:00::)","water frozen in the solid state","Americans like ice in their drinks","water ice,ice",1,15,"substance holonym",109226883,"noun.object",17,"n","glacier#1(glacier%1:17:00::)","a slowly moving mass of ice","","glacier"
"ca",114569309,,"noun.substance",27,"n","atomic number 20#1(atomic_number_20%1:27:00::),Ca#1(ca%1:27:00::),calcium#1(calcium%1:27:00::)","a white metallic element that burns with a brilliant light; the fifth most abundant element in the earth's crust; an important component of most plants and animals","","atomic number 20,Ca,calcium",1,15,"substance holonym",114614403,"noun.substance",27,"n","gypsum#1(gypsum%1:27:00::)","a common white or colorless mineral (hydrated calcium sulphate) used to make cements and plasters (especially plaster of Paris)","","gypsum"
"lacewood",112742562,,"noun.plant",20,"n","sycamore#1(sycamore%1:20:02::),lacewood#1(lacewood%1:20:00::)","variably colored and sometimes variegated hard tough elastic wood of a sycamore tree","","sycamore,lacewood",1,15,"substance holonym",112742212,"noun.plant",20,"n","plane tree#1(plane_tree%1:20:00::),platan#1(platan%1:20:00::),sycamore#2(sycamore%1:20:00::)","any of several trees of the genus Platanus having thin pale bark that scales off in small plates and lobed leaves and ball-shaped heads of fruits","","plane tree,platan,sycamore"
"yttrium",114598402,,"noun.substance",27,"n","atomic number 39#1(atomic_number_39%1:27:00::),Y#1(y%1:27:00::),yttrium#1(yttrium%1:27:00::)","a silvery metallic element that is common in rare-earth minerals; used in magnesium and aluminum alloys","","atomic number 39,Y,yttrium",1,15,"substance holonym",114612194,"noun.substance",27,"n","ytterbite#1(ytterbite%1:27:00::),gadolinite#1(gadolinite%1:27:00::)","a mineral that is a source of rare earths; consists of silicates of iron and beryllium and cerium and yttrium and erbium","","ytterbite,gadolinite"
"ldl cholesterol",114984675,,"noun.substance",27,"n","LDL cholesterol#1(ldl_cholesterol%1:27:00::)","the cholesterol in low-density lipoproteins; the `bad' cholesterol; a high level in the blood is thought to be related to various pathogenic conditions","","LDL cholesterol",1,15,"substance holonym",114870618,"noun.substance",27,"n","beta-lipoprotein#1(beta-lipoprotein%1:27:00::),low-density lipoprotein#1(low-density_lipoprotein%1:27:00::),LDL#1(ldl%1:27:00::)","a lipoprotein that transports cholesterol in the blood; composed of moderate amount of protein and a large amount of cholesterol; high levels are thought to be associated with increased risk of coronary heart disease and atherosclerosis","","beta-lipoprotein,low-density lipoprotein,LDL"
"zinfandel",107828963,,"noun.food",13,"n","zinfandel#2(zinfandel%1:13:00::)","dry fruity red wine from California","","zinfandel",2,15,"substance holonym",113082883,"noun.plant",20,"n","Zinfandel#1(zinfandel%1:20:00::)","small black grape grown chiefly in California; transplanted from Europe","","Zinfandel"
"anise",107757276,,"noun.food",13,"n","anise seed#1(anise_seed%1:13:00::),aniseed#1(aniseed%1:13:00::),anise#2(anise%1:13:00::)","liquorice-flavored seeds, used medicinally and in cooking and liquors","","anise seed,aniseed,anise",2,15,"substance holonym",107567301,"noun.food",13,"n","anise cookie#1(anise_cookie%1:13:00::)","cookie made without butter and flavored with anise seed","","anise cookie"
"hydrazoite",114702817,,"noun.substance",27,"n","hydrazoite#1(hydrazoite%1:27:00::)","a salt of hydrazoic acid","","hydrazoite",1,15,"substance holonym",114549444,"noun.substance",27,"n","azoimide#1(azoimide%1:27:00::),hydrogen azide#1(hydrogen_azide%1:27:00::),hydrazoic acid#1(hydrazoic_acid%1:27:00::),HN#1(hn%1:27:03::)","a colorless explosive liquid that is volatile and poisonous and foul-smelling","","azoimide,hydrogen azide,hydrazoic acid,HN"
"atomic number 13",114564500,,"noun.substance",27,"n","Al#1(al%1:27:00::),atomic number 13#1(atomic_number_13%1:27:00::),aluminum#1(aluminum%1:27:00::),aluminium#1(aluminium%1:27:00::)","a silvery ductile metallic element found primarily in bauxite","","Al,atomic number 13,aluminum,aluminium",1,15,"substance holonym",102701894,"noun.artifact",6,"n","aluminium foil#1(aluminium_foil%1:06:00::),aluminum foil#1(aluminum_foil%1:06:00::),tin foil#2(tin_foil%1:06:01::)","foil made of aluminum","","aluminium foil,aluminum foil,tin foil"
"sima",114635030,,"noun.substance",27,"n","sima#1(sima%1:27:00::)","rock that form the continuous lower layer of the earth's crust; rich in silicon and magnesium","","sima",1,15,"substance holonym",109197562,"noun.object",17,"n","Earth's crust#1(earth's_crust%1:17:00::),crust#1(crust%1:17:00::)","the outer layer of the Earth","","Earth's crust,crust"
"babacu oil",112528452,,"noun.plant",20,"n","babassu oil#1(babassu_oil%1:20:00::),babacu oil#1(babacu_oil%1:20:00::)","fatty oil from kernels of babassu nuts similar to coconut oil","","babassu oil,babacu oil",1,15,"substance holonym",112528320,"noun.plant",20,"n","babassu nut#1(babassu_nut%1:20:00::)","hard-shelled nut of the babassu palm","","babassu nut"
"balsa wood",112127036,,"noun.plant",20,"n","balsa wood#1(balsa_wood%1:20:00::),balsa#1(balsa%1:20:02::)","strong lightweight wood of the balsa tree used especially for floats","","balsa wood,balsa",1,15,"substance holonym",112126810,"noun.plant",20,"n","Ochroma lagopus#1(ochroma_lagopus%1:20:00::),balsa#2(balsa%1:20:00::)","forest tree of lowland Central America having a strong very light wood; used for making floats and rafts and in crafts","","Ochroma lagopus,balsa"
"olive drab",103799568,,"noun.artifact",6,"n","olive drab#3(olive_drab%1:06:00::)","a cloth of an olive-brown color used for military uniforms","","olive drab",3,15,"substance holonym",103799702,"noun.artifact",6,"n","olive-drab uniform#1(olive-drab_uniform%1:06:00::),olive drab#2(olive_drab%1:06:01::)","military uniform of the United States Army; made from cloth of a dull olive color","","olive-drab uniform,olive drab"
